model,provider,questions,exercises,score,ci95_low,ci95_high,partial_score,cost_usd,grader_cost_usd,median_seconds,p95_seconds,failed_responses,reused_responses,assembled_at,dataset_sha256
openai/gpt-6-astra,openrouter,119,10,0.8739495798319328,0.8016528925619835,0.9444444444444444,0.9051020408163265,16.21877,0.0013166,5.277325208007824,29.184135334013263,0,50,2026-09-08T19:41:48.546364+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
anthropic/claude-fable-5.1,openrouter,119,10,0.6134453781512605,0.4855072463768116,0.7565217391304347,0.6566087973650999,14.52292,0.00149,14.363223166001262,82.0744985829806,0,119,2026-09-08T20:15:10.952261+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
openai/gpt-5.6-sol-pro,openrouter,119,10,0.5529411764705882,0.45546875,0.6808695652173913,0.6026687598116169,15.7836109,0.0013127,28.08375675001298,112.58885870792437,0,119,2026-09-08T20:18:01.885965+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
google/gemini-3.8-flash,openrouter,119,10,0.5378151260504201,0.4365079365079365,0.656,0.5697186566934467,2.51974275,0.001233,19.305374625022523,169.62729624999338,4,119,2026-09-08T20:35:32.323867+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
x-ai/grok-4.6,openrouter,119,10,0.3798319327731093,0.291304347826087,0.4939393939393939,0.4246221565549297,6.960382,0.0012347,138.87392929202178,375.4239427499997,0,119,2026-09-08T21:34:55.009552+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
qwen/qwen3.8-max-0902,openrouter,119,10,0.3588235294117647,0.284070796460177,0.45098039215686275,0.3910933604210915,6.053376,0.0009137,175.23985266700038,296.7223589589994,24,119,2026-09-08T22:37:53.715738+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
z-ai/glm-5.3-flash,openrouter,119,10,0.2647058823529412,0.18309859154929578,0.375,0.2756302521008403,,0.0016738999999999999,449.57700950000435,692.2535314589913,52,119,2026-09-09T00:03:58.280932+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
qwen/qwen3.8-flash,openrouter,119,10,0.226890756302521,0.15328467153284672,0.31683168316831684,0.2336934773909564,0.613848606,0.0013808,102.39861812500749,406.2740384169738,30,115,2026-09-08T21:35:00.342311+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
bytedance-seed/seed-2-1-turbo,openrouter,119,10,0.18235294117647058,0.12396694214876033,0.2406779661016949,0.19523809523809524,7.314113,0.0014099,388.08664595897426,511.8913834170089,46,119,2026-09-08T22:55:18.770276+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
deepseek/deepseek-v4-flash-vision-exp,openrouter,119,10,0.09243697478991597,0.035398230088495575,0.16101694915254236,0.10624865330747683,2.031369594,0.0012298,91.16993604198797,273.93790520800394,27,119,2026-09-08T21:09:58.147043+00:00,b841b82c169c0721b97dd254c992072b0ccc1c8e11d74ce61fc7a9c7aedce363
